class_label,rank,feature_index,term,aggregate_relevance,mean_relevance,n_correct_texts
homme,1,10723,guillaume,69.22106258432905,0.6853570552903866,101
homme,2,9787,françois,55.89820052628056,0.5534475299631739,101
homme,3,9389,fit,47.23687929628068,0.46769187422060077,101
homme,4,1084,andré,39.13906690955082,0.3875155139559487,101
homme,5,3036,brebis,37.46130686569268,0.3709040283731948,101
homme,6,2528,bergerie,32.53220626935945,0.32210105217187573,101
homme,7,8966,fabre,20.460330298170447,0.2025775277046579,101
homme,8,824,alice,19.787620597973728,0.19591703562350227,101
homme,9,6665,docteur,17.518850660533644,0.17345396693597667,101
homme,10,20153,répondit,16.67990075524358,0.16514753223013445,101
homme,11,13560,maire,15.333337955744355,0.15181522728459756,101
homme,12,12673,julius,14.666353350738063,0.14521141931423825,101
homme,13,14334,mister,13.792231936182361,0.13655675184338972,101
homme,14,10261,geneviève,13.336902038223343,0.1320485350319143,101
homme,15,13798,marie,12.195457142897794,0.12074710042473064,101
homme,16,24104,zola,12.17785667674616,0.12057283838362534,101
homme,17,19244,reprit,11.487797487803618,0.11374056918617444,101
homme,18,15861,ouvrit,10.546069659167188,0.10441653127888305,101
homme,19,21304,souffla,9.635203960275248,0.09539805901262623,101
homme,20,9025,fallut,9.534125748818042,0.0943972846417628,101
femme,1,10496,graham,141.398650303483,0.9553962858343447,148
femme,2,13534,mahé,94.10613250732422,0.6358522466711096,148
femme,3,2515,benoît,69.57145855613635,0.47007742267659697,148
femme,4,9050,fanny,39.646004344831454,0.26787840773534766,148
femme,5,2570,betty,38.58922102698125,0.26073797991203546,148
femme,6,4209,christine,36.426386567531154,0.2461242335643997,148
femme,7,22123,tante,35.63453074921563,0.24077385641361912,148
femme,8,13798,marie,34.61218503545388,0.23386611510441807,148
femme,9,23675,vincent,30.457297086628387,0.20579254788262424,148
femme,10,17113,portais,23.641455276891065,0.1597395626816964,148
femme,11,13535,mai,22.57420382007149,0.15252840418967223,148
femme,12,17285,poussez,20.827465862748795,0.1407261206942486,148
femme,13,21465,souviens,19.714676041403436,0.1332072705500232,148
femme,14,24486,élodie,17.938589442521334,0.12120668542244144,148
femme,15,723,aimerais,17.847908291782005,0.120593974944473,148
femme,16,904,allés,16.150629301011577,0.10912587365548362,148
femme,17,9014,faisais,15.56953980140861,0.10519959325276088,148
femme,18,19122,rentre,15.146386338527918,0.10234044823329674,148
femme,19,1146,anne,14.353378015981434,0.09698228389176644,148
femme,20,3842,chalet,14.346909280597174,0.09693857622025118,148
