class_label,rank,feature_index,term,aggregate_relevance,mean_relevance,n_correct_texts
homme,1,16883,gloria,38.21792541537434,0.3939992310863334,97
homme,2,17992,hildegarde,21.547769447788596,0.22214195306998552,97
homme,3,21970,madame,20.425596676670466,0.21057316161515943,97
homme,4,20836,kurt,19.91866994978045,0.20534711288433455,97
homme,5,7330,clément,18.507201374683063,0.19079589046065015,97
homme,6,6724,chevalier,13.91502603518893,0.14345387665143228,97
homme,7,17996,himmler,11.19961029291153,0.11545989992692299,97
homme,8,8959,cottage,10.684964974876493,0.11015427809151024,97
homme,9,31887,ruggieri,9.134165334049612,0.09416665292834651,97
homme,10,30337,reine,9.100003814825413,0.09381447231778776,97
homme,11,15247,firmin,7.93392856628634,0.08179307800295196,97
homme,12,23422,moine,7.7296366870286874,0.07968697615493492,97
homme,13,33733,sire,7.400043705682037,0.07628911036785606,97
homme,14,23909,murmura,6.828669194466784,0.07039865148934829,97
homme,15,23284,mirabeau,6.754258149478119,0.06963152731420741,97
homme,16,18224,huguette,6.611582961318163,0.06816064908575425,97
homme,17,60,abbé,6.354508812684799,0.06551040013077113,97
homme,18,34014,sors,6.316352755366097,0.0651170387151144,97
homme,19,34419,st,6.21622098255466,0.06408475239747072,97
homme,20,35531,tcheng,6.178280634921975,0.06369361479301006,97
femme,1,20752,kay,18.327983856201172,0.12300660306175283,149
femme,2,1213,aix,14.79245829366846,0.09927824358166752,149
femme,3,29260,quentin,13.83676522190217,0.09286419612014879,149
femme,4,6831,chloé,12.152056510094553,0.08155742624224532,149
femme,5,31495,riquet,8.048642768291757,0.054017736699944675,149
femme,6,15361,flaubert,7.840568029729184,0.05262126194449117,149
femme,7,25793,palmiers,7.744888468143472,0.05197911723586223,149
femme,8,28491,provence,7.62690852418018,0.051187305531410605,149
femme,9,26946,pigeonnier,7.294024741277099,0.04895318618306778,149
femme,10,22512,marion,6.865418021567166,0.0460766310172293,149
femme,11,26826,phare,5.932524731819285,0.03981560222697507,149
femme,12,5587,caisse,5.845552209371817,0.039231894022629644,149
femme,13,8834,corentin,5.077206538058817,0.03407521166482428,149
femme,14,22487,marianne,4.691299635334872,0.03148523245191189,149
femme,15,35792,thomas,4.419076878431952,0.029658234083435916,149
femme,16,14744,fanny,4.084643100970425,0.02741371208704983,149
femme,17,29223,quai,3.8386283488398476,0.02576260636805267,149
femme,18,18459,hôtel,3.792501120509769,0.02545302765442798,149
femme,19,16437,galets,3.6828697165765334,0.024717246419976736,149
femme,20,1717,américain,3.5091174490335106,0.02355112381901685,149
